4,115,98
4.1,116,98.9
4.2,117,99.8
4.3,118,100.7
4.4,119,101.6
4.5,120,102.5
4.6,121,103.4
4.7,122,104.3
4.8,123,105.2
4.9,124,106.1
5,125,107
5.1,125.8,107.8
5.2,126.6,108.6
5.3,127.4,109.4
5.4,128.2,110.2
5.5,129,111
5.6,129.8,111.8
5.7,130.6,112.6
5.8,131.4,113.4
5.9,132.2,114.2
6,133,115
6.1,134,115.8
6.2,135,116.6
6.3,136,117.4
6.4,137,118.2
6.5,138,119
6.6,139,119.8
6.7,140,120.6
6.8,141,121.4
6.9,142,122.2
7,143,123
7.1,143.8,124.2
7.2,144.6,125.4
7.3,145.4,126.6
7.4,146.2,127.8
7.5,147,129
7.6,147.8,130.2
7.7,148.6,131.4
7.8,149.4,132.6
7.9,150.2,133.8
8,151,135
8.1,151.6,135.9
8.2,152.2,136.8
8.3,152.8,137.7
8.4,153.4,138.6
8.5,154,139.5
8.6,154.6,140.4
8.7,155.2,141.3
8.8,155.8,142.2
8.9,156.4,143.1
9,157,144
9.1,157.7,144.5
9.2,158.4,145
9.3,159.1,145.5
9.4,159.8,146
9.5,160.5,146.5
9.6,161.2,147
9.7,161.9,147.5
9.8,162.6,148
9.9,163.3,148.5
10,164,149
10.1,164.3,149.6
10.2,164.6,150.2
10.3,164.9,150.8
10.4,165.2,151.4
10.5,165.5,152
10.6,165.8,152.6
10.7,166.1,153.2
10.8,166.4,153.8
10.9,166.7,154.4
11,167,155
11.1,167.3,155.3
11.2,167.6,155.6
11.3,167.9,155.9
11.4,168.2,156.2
11.5,168.5,156.5
11.6,168.8,156.8
11.7,169.1,157.1
11.8,169.4,157.4
11.9,169.7,157.7
12,170,158
12.1,170.2,158.4
12.2,170.4,158.8
12.3,170.6,159.2
12.4,170.8,159.6
12.5,171,160
12.6,171.2,160.4
12.7,171.4,160.8
12.8,171.6,161.2
12.9,171.8,161.6
13,172,162
13.1,172.3,162.4
13.2,172.6,162.8
13.3,172.9,163.2
13.4,173.2,163.6
13.5,173.5,164
13.6,173.8,164.4
13.7,174.1,164.8
13.8,174.4,165.2
13.9,174.7,165.6
14,175,166
14.1,175.4,166.3
14.2,175.8,166.6
14.3,176.2,166.9
14.4,176.6,167.2
14.5,177,167.5
14.6,177.4,167.8
14.7,177.8,168.1
14.8,178.2,168.4
14.9,178.6,168.7
15,179,169
