0.35,8.1,249.8
0.49,6.6,173.7
0.3,6,322.8
0.51,9.6,209.3
0.61,4,98
0.61,8.8,142.2
0.61,13.2,162.8
0.26,15,470
0.42,15,230
0.41,15,345
0.53,15,169
0.54,11.7,157.1
0.29,11.9,390.5
0.61,15,179
0.42,4,125
0.34,15,304
0.61,11.6,168.8
0.51,15,250
0.26,8.2,335.6
0.54,7,123
0.57,14,175
0.34,6.2,256.1
0.33,8,367
0.61,15,169
0.34,4,213.3
0.52,9.4,159.8
0.61,12,158
0.51,12.8,220.4
0.61,6.7,140
0.61,9.7,161.9
0.61,14.1,166.3
0.61,8.1,151.5
0.61,13.6,173.8
0.61,15,169.1
0.61,15,178.9
0.61,10.4,151.4
0.34,15,304.1
0.61,14.2,166.6
0.42,12.5,215
0.61,5.1,125.8
0.41,13.5,322.2
0.61,13.6,164.4
0.33,14.6,438.2
0.52,8.5,139.5
0.61,7.4,127.8
0.61,15,178.8
0.61,15,169.2
0.51,14.1,221
0.61,14.4,176.6
0.61,12.6,171.1
0.34,12,274
0.61,12.7,160.8
0.61,14.5,167.5
0.34,9.8,252.2
0.26,4,320
0.41,15,304
0.61,6.1,115.8
0.51,11,210
0.52,12.8,161.2
0.61,14.6,177.3
0.34,15,345
0.61,9.4,146
0.34,12.9,283.9
0.61,14.6,167.8
0.61,13.4,163.6
0.42,8.1,207
0.61,15.0,178.7
