-130,-0.113,-0.332,-0.341
-69,-1.179,-0.358,-0.691
-219,-0.291,-0.344,-0.297
-61,-1.507,-0.383,-0.968
-67,-1.776,-0.399,-1.194
-45,-0.657,-0.396,-0.465
-40,-0.557,-0.374,-0.525
-136,-0.389,-0.429,-0.518
-67,-0.199,-0.26,-0.268
-84,-0.197,-0.356,-0.45
-48,-0.106,-0.54,-0.46
-50,-0.604,-0.417,-0.435
-127,-0.664,-0.456,-0.6
-41,-0.362,-0.459,-0.743
-70,-2.153,-0.6,-1.841
-92,-0.417,-0.562,-0.365
-46,-0.997,-0.319,-0.68
-57,-0.402,-0.43,-0.73
-138,-1.623,-0.512,-0.948
-51,-2.017,-0.395,-1.57
-46,-0.423,-0.144,-1.057
-94,-1.634,-0.566,-0.792
-113,-1.396,-0.395,-1.116
-41,-0.577,-0.314,-0.484
-96,-2.027,-0.521,-1.301
-50,-0.487,-0.374,-0.462
-42,-0.923,-0.346,-0.434
-58,-0.336,-0.315,-0.379
-48,-1.216,-0.323,-0.756
-45,-0.145,-0.28,-0.373
-41,-0.757,-0.487,-0.594
-46,-1.186,-0.392,-0.713
-42,-0.221,-0.381,-0.408
-41,-0.227,-0.291,-0.455
-41,-0.012,-0.328,-0.359
-45,-0.843,-0.457,-0.797
-87,-0.203,-0.353,-0.474
-41,-0.211,-0.261,-0.481
-69,-0.61,-0.243,-0.511
-54,-1.542,-0.539,-1.129
-85,-0.536,-0.521,-0.641
-42,-0.149,-0.299,-0.461
-102,-0.924,-0.65,-1.005
-51,-0.892,-0.364,-0.44
-46,-1.425,-0.518,-1.103
-41,-0.006,-0.266,-0.269
-41,-0.221,-0.38,-0.403
-57,-0.798,-0.452,-1.312
-41,-0.029,-0.224,-0.344
-43,-0.033,-0.184,-0.303
-93,-0.285,-0.476,-0.589
-43,-0.607,-0.338,-0.414
-41,-0.368,-0.378,-0.487
-93,-1.955,-0.519,-0.862
-142,-1.478,-0.427,-0.732
-84,-0.688,-0.385,-0.637
-48,-2.172,-0.321,-1.135
-59,-1.734,-0.405,-1.133
-49,-0.772,-0.358,-0.53
-41,-0.023,-0.191,-0.266
-87,-0.115,-0.56,-0.461
-45,-0.644,-0.398,-0.492
-92,-0.433,-0.449,-0.474
-41,-0.394,-0.35,-0.502
-42,-0.743,-0.388,-0.462
-69,-0.24,-0.291,-0.299
